Категория;Подкатегория;Оборот;Динамика_%;Продавцов;Доля_топ5_%;Лидер_1;Лидер_2
Стулья, скамьи, табуреты, пуфики;Комплект барных стульев;213510765;38.0;332;59.2;DOBRIN;ООО «Стул Груп»
Стулья, скамьи, табуреты, пуфики;Складной стул;210978828;33.0;1269;38.1;Самсон;Компания-производитель Etcona
Стулья, скамьи, табуреты, пуфики;Садовый сундук;165483147;465.0;151;75.1;Кетершоп;GARDECK
Стулья, скамьи, табуреты, пуфики;Табурет-стремянка;145042532;9.0;1783;38.3;«ДВИЖЕНИЕ - ЖИЗНЬ»;Roku
Стулья, скамьи, табуреты, пуфики;Подставка под ноги;67104112;-9.0;2015;26.6;ABCD STORE;ForErgo Официальный магазин
Стулья, скамьи, табуреты, пуфики;Запчасти для стула;46000944;19.0;1175;29.9;Top Find;Детитекс
Стулья, скамьи, табуреты, пуфики;Сундук;25862073;66.0;122;56.7;Твердыня;Торвис
Стулья, скамьи, табуреты, пуфики;Кресло детское;23289406;-23.0;1007;33.5;XedaR;Кипрей
Стулья, скамьи, табуреты, пуфики;Стул для музыканта;8340324;1.0;248;47.1;БИГТВ77;Музторг
Стулья, скамьи, табуреты, пуфики;Стул откидной;6637336;-11.0;206;66.0;Glider;АзбукаДекор
Шкафы;Шкаф распашной;7006280404;28.0;643;53.4;ООО «УЮТНАЯ ЛОГИКА»;НОНТОН.РФ
Шкафы;Шкаф-купе;1125566030;15.0;202;47.1;НОНТОН.РФ;Мебельная компания Е1
Шкафы;Гардеробная система;722629413;32.0;159;54.6;Best Mebel;A'Belle
Шкафы;Шкаф-витрина;515042144;18.0;486;52.2;ГУД ЛАКК;Dipriz (белорусская фабрика)
Шкафы;Вешалка настенная;487800234;9.0;2571;24.0;ООО «ЗМИ»;Home and Garden
Шкафы;Шкаф-пенал;358162231;15.0;310;29.9;CUBE;NOVATOR
Шкафы;Шкаф книжный;205245879;22.0;206;52.3;Best Mebel;СИВЕР
Шкафы;Буфет;148287064;26.0;518;62.6;Эльдизайн;Нарус
Шкафы;Шкаф складной;142817262;26.0;950;50.9;ООО «Дельта Дом»;TDhome
Шкафы;Шкаф навесной;84583533;-15.0;218;45.1;ВСК-мебель;MANNYT
Шкафы;Антресоль мебельная;73823525;3.0;136;60.5;Best Mebel;LAERA
Шкафы;Барная стойка;12576856;92.0;15;97.4;БЕЛОРУССКИЙ ДОМ;Мебель для Магазинов
Шкафы;Корпус шкафа;4919835;323.0;22;91.8;WOOD&STEEL;LAERA
Шкафы;Барный шкаф;3336449;-36.0;93;39.9;;
